百日咳,螃蟹
百日咳,海蟹
百日咳,海虾
百日咳,海螺
苯中毒,海蟹
苯中毒,海虾
苯中毒,海参（水浸）
苯中毒,辣椒(青、尖)
喘息样支气管炎,海蟹
喘息样支气管炎,海虾
喘息样支气管炎,海螺
喘息样支气管炎,猪肉(肥瘦)
成人呼吸窘迫综合征,啤酒
成人呼吸窘迫综合征,白酒
成人呼吸窘迫综合征,洋葱
成人呼吸窘迫综合征,辣椒(红、尖、干)
大叶性肺炎,洋葱
大叶性肺炎,辣椒(青、尖)
大叶性肺炎,辣椒(红、尖、干)
大叶性肺炎,韭菜
大楼病综合征,洋葱
大楼病综合征,辣椒(青、尖)
大楼病综合征,辣椒(红、尖、干)
大楼病综合征,韭菜
二硫化碳中毒,啤酒
二硫化碳中毒,白酒
二硫化碳中毒,洋葱
二硫化碳中毒,辣椒(红、尖、干)
肺出血－肾炎综合征,竹笋
肺出血－肾炎综合征,辣椒(青、尖)
肺出血－肾炎综合征,辣椒(红、尖、干)
肺出血－肾炎综合征,韭菜
肺放线菌病,啤酒
肺放线菌病,白酒
肺放线菌病,狗肉
肺放线菌病,洋葱
肺曲菌病,啤酒
肺曲菌病,白酒
肺曲菌病,洋葱
肺曲菌病,韭菜
放射性肺炎,白酒
放射性肺炎,洋葱
放射性肺炎,辣椒(红、尖、干)
放射性肺炎,大蒜
肺念珠菌病,啤酒
肺念珠菌病,白酒
肺念珠菌病,空心菜
肺念珠菌病,奶油
肺炎球菌肺炎,啤酒
肺炎球菌肺炎,白酒
肺炎球菌肺炎,辣椒(红、尖、干)
肺炎球菌肺炎,咖啡
肺气肿,海虾
肺气肿,带鱼
肺气肿,羊肉(瘦)
肺气肿,圆白菜
肺炎杆菌肺炎,鱼腥草
肺炎杆菌肺炎,洋葱
肺炎杆菌肺炎,香菜
肺炎杆菌肺炎,辣椒(青、尖)
肺脓肿,海蟹
肺脓肿,海虾
肺脓肿,海螺
肺脓肿,海参
肺栓塞,海蟹
肺栓塞,海虾
肺栓塞,狗肉
肺栓塞,鱼腥草
肺炎,杏仁
肺炎,腐竹
肺炎,白扁豆
肺炎,猪油（板油）
肺大泡,啤酒
肺大泡,白酒
肺大泡,杏仁
肺大泡,油豆腐
肺水肿,螃蟹
肺水肿,海蟹
肺水肿,海虾
肺水肿,羊肉(后腿)
非典,海蟹
非典,海虾
非典,狗肉
非典,鱼腥草
肺转移瘤,白酒
肺转移瘤,杏仁
肺转移瘤,腐竹
肺转移瘤,海蟹
肺炎性假瘤,啤酒
肺炎性假瘤,白酒
肺炎性假瘤,杏仁
肺炎性假瘤,腐竹
肺癌,杏仁
肺癌,腐竹
肺癌,白扁豆
肺癌,猪油（板油）
感冒,白扁豆
感冒,咸鱼
感冒,油条
感冒,猪油（板油）
感染性休克,白扁豆
感染性休克,田螺
感染性休克,螃蟹
感染性休克,河蚌
过敏性休克,蜂蜜
过敏性休克,白扁豆
过敏性休克,螃蟹
过敏性休克,猪油（板油）
Goodpasture综合征,白扁豆
Goodpasture综合征,沙丁鱼
Goodpasture综合征,猪油（板油）
Goodpasture综合征,猪小排（猪肋排）
过敏性肺炎,白扁豆
过敏性肺炎,蟹黄
过敏性肺炎,猪油（板油）
过敏性肺炎,猪小排（猪肋排）
汞中毒,白扁豆
汞中毒,猪油（板油）
汞中毒,猪小排（猪肋排）
汞中毒,猪里脊肉
呼吸道异物,花生
呼吸道异物,白扁豆
呼吸道异物,海蟹
呼吸道异物,海虾
呼吸性细支气管相关的间质性肺疾病,白扁豆
呼吸性细支气管相关的间质性肺疾病,海虾
呼吸性细支气管相关的间质性肺疾病,猪油（板油）
呼吸性细支气管相关的间质性肺疾病,猪小排（猪肋排）
呼吸衰竭,白扁豆
呼吸衰竭,海蟹
呼吸衰竭,海虾
呼吸衰竭,海螺
呼吸道合胞病毒肺炎,白扁豆
呼吸道合胞病毒肺炎,海蟹
呼吸道合胞病毒肺炎,海虾
呼吸道合胞病毒肺炎,海螺
急性呼吸衰竭,白酒
急性呼吸衰竭,花生
急性呼吸衰竭,白扁豆
急性呼吸衰竭,海蟹
急性肺脓肿,啤酒
急性肺脓肿,白酒
急性肺脓肿,白扁豆
急性肺脓肿,猪油（板油）
军团病,啤酒
军团病,白酒
军团病,白扁豆
军团病,猪油（板油）
急性呼吸窘迫综合征,白扁豆
急性呼吸窘迫综合征,猪油（板油）
急性呼吸窘迫综合征,猪小排（猪肋排）
急性呼吸窘迫综合征,猪里脊肉
军团菌病,啤酒
军团菌病,白酒
军团菌病,咸鸭蛋
军团菌病,烤鸭
结核性脓胸,白酒
结核性脓胸,白扁豆
结核性脓胸,猪油（板油）
结核性脓胸,猪小排（猪肋排）
金黄色葡萄球菌肺炎,白酒
金黄色葡萄球菌肺炎,白扁豆
金黄色葡萄球菌肺炎,猪油（板油）
金黄色葡萄球菌肺炎,猪小排（猪肋排）
卡氏肺囊虫肺炎,麦芽糖
卡氏肺囊虫肺炎,赤砂糖
卡氏肺囊虫肺炎,白砂糖
卡氏肺囊虫肺炎,啤酒
咯血,杏仁
咯血,白扁豆
咯血,猪油（板油）
咯血,猪小排（猪肋排）
硫化氢中毒,啤酒
硫化氢中毒,白酒
硫化氢中毒,白扁豆
硫化氢中毒,猪油（板油）
老年肺炎,白扁豆
老年肺炎,海蟹
老年肺炎,海虾
老年肺炎,海螺
流行性感冒,猪油（板油）
流行性感冒,猪小排（猪肋排）
流行性感冒,猪里脊肉
流行性感冒,猪大肠
免疫缺陷者肺炎,白扁豆
免疫缺陷者肺炎,猪油（板油）
免疫缺陷者肺炎,猪小排（猪肋排）
免疫缺陷者肺炎,猪里脊肉
气胸,白扁豆
气胸,猪油（板油）
气胸,猪小排（猪肋排）
气胸,猪里脊肉
禽流感,白扁豆
禽流感,猪油（板油）
禽流感,猪小排（猪肋排）
